FID,OBJECTID,X_Point,Y_Point,X_Anchor,Y_Anchor
1,4355,724027.4107,9298446.964,723557.0545,9299180.191
2,4356,724027.4107,9298446.964,723557.0545,9299180.191
3,4359,723629.214,9298448.808,723557.0545,9299180.191
4,4360,723629.214,9298448.808,723557.0545,9299180.191
5,4409,723582.9502,9298455.688,723557.0545,9299180.191
6,4410,723582.9502,9298455.688,723557.0545,9299180.191
7,4419,724067.626,9298454.955,723557.0545,9299180.191
8,4420,724067.626,9298454.955,723557.0545,9299180.191
9,4427,724057.1493,9298455.914,723557.0545,9299180.191
10,4428,724057.1493,9298455.914,723557.0545,9299180.191
11,4435,724047.3337,9298456.774,723557.0545,9299180.191
12,4436,724047.3337,9298456.774,723557.0545,9299180.191
13,4437,723629.9245,9298458.666,723557.0545,9299180.191
14,4438,723629.9245,9298458.666,723557.0545,9299180.191
15,4445,724037.9289,9298457.729,723557.0545,9299180.191
16,4446,724037.9289,9298457.729,723557.0545,9299180.191
17,4457,724028.2569,9298458.456,723557.0545,9299180.191
18,4458,724028.2569,9298458.456,723557.0545,9299180.191
19,4479,724010.9633,9298461.269,723557.0545,9299180.191
20,4480,724010.9633,9298461.269,723557.0545,9299180.191
21,4523,723635.2952,9298466.558,723557.0545,9299180.191
22,4524,723635.2952,9298466.558,723557.0545,9299180.191
23,4553,723645.0576,9298471.39,723557.0545,9299180.191
24,4554,723645.0576,9298471.39,723557.0545,9299180.191
25,4615,724067.6742,9298474.943,723557.0545,9299180.191
26,4616,724067.6742,9298474.943,723557.0545,9299180.191
27,4625,724059.2512,9298476.106,723557.0545,9299180.191
28,4626,724059.2512,9298476.106,723557.0545,9299180.191
29,4633,724050.7742,9298477.142,723557.0545,9299180.191
30,4634,724050.7742,9298477.142,723557.0545,9299180.191
31,4653,724040.555,9298478.39,723557.0545,9299180.191
32,4654,724040.555,9298478.39,723557.0545,9299180.191
33,4665,724030.9114,9298479.864,723557.0545,9299180.191
34,4666,724030.9114,9298479.864,723557.0545,9299180.191
35,4675,723586.8134,9298482.141,723557.0545,9299180.191
36,4676,723586.8134,9298482.141,723557.0545,9299180.191
37,4683,724021.7035,9298480.878,723557.0545,9299180.191
38,4684,724021.7035,9298480.878,723557.0545,9299180.191
39,4693,724012.3595,9298482.222,723557.0545,9299180.191
40,4694,724012.3595,9298482.222,723557.0545,9299180.191
41,4703,724003.8106,9298483.361,723557.0545,9299180.191
42,4704,724003.8106,9298483.361,723557.0545,9299180.191
43,4723,723995.982,9298484.356,723557.0545,9299180.191
44,4724,723995.982,9298484.356,723557.0545,9299180.191
45,4741,723648.5545,9298487.7,723557.0545,9299180.191
46,4742,723648.5545,9298487.7,723557.0545,9299180.191
47,4743,723985.1463,9298486.436,723557.0545,9299180.191
48,4744,723985.1463,9298486.436,723557.0545,9299180.191
49,4755,723978.1381,9298487.233,723557.0545,9299180.191
50,4756,723978.1381,9298487.233,723557.0545,9299180.191
51,4771,724068.7358,9298487.934,723557.0545,9299180.191
52,4772,724068.7358,9298487.934,723557.0545,9299180.191
