FID,OBJECTID_1,OBJECTID,X_Point,Y_Point,X_Anchor,Y_Anchor,X"_Anchor,Y"_Anchor,X_XAnchor,Y_YAnchor,X_X"Anchor,Y_Y"Anchor
0,1,4355,724027.410700000010000,9298446.964099999500000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,470.356200000000000,-733.226700000000050,-41.549126000000001,-2.437890000640000
1,2,4356,724027.410700000010000,9298446.964099999500000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,470.356200000000000,-733.226700000000050,-41.549126000000001,-2.437890000640000
2,3,4359,723629.214000000040000,9298448.808000000200000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,72.159500000099996,-731.382799999999970,-439.745826000000020,-0.593989999965000
3,4,4360,723629.214000000040000,9298448.808000000200000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,72.159500000099996,-731.382799999999970,-439.745826000000020,-0.593989999965000
4,5,4409,723582.950199999960000,9298455.688400000300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,25.895700000000001,-724.502399999999970,-486.009626000000030,6.286410000180000
5,6,4410,723582.950199999960000,9298455.688400000300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,25.895700000000001,-724.502399999999970,-486.009626000000030,6.286410000180000
6,7,4419,724067.626000000050000,9298454.955299999600000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,510.571500000000010,-725.235500000000000,-1.333825999990000,5.553309999410000
7,8,4420,724067.626000000050000,9298454.955299999600000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,510.571500000000010,-725.235500000000000,-1.333825999990000,5.553309999410000
8,9,4427,724057.149300000050000,9298455.913699999500000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,500.094800000000020,-724.277100001000010,-11.810525999999999,6.511709999290000
9,10,4428,724057.149300000050000,9298455.913699999500000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,500.094800000000020,-724.277100001000010,-11.810525999999999,6.511709999290000
10,11,4435,724047.333699999960000,9298456.774100000000000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,490.279200000000000,-723.416699999999990,-21.626126000100001,7.372109999880000
11,12,4436,724047.333699999960000,9298456.774100000000000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,490.279200000000000,-723.416699999999990,-21.626126000100001,7.372109999880000
12,13,4437,723629.924499999960000,9298458.666099999100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,72.870000000000005,-721.524700001000040,-439.035326000000000,9.264109998940000
13,14,4438,723629.924499999960000,9298458.666099999100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,72.870000000000005,-721.524700001000040,-439.035326000000000,9.264109998940000
14,15,4445,724037.928900000060000,9298457.728800000600000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,480.874399999999980,-722.461999999000000,-31.030926000000001,8.326810000460000
15,16,4446,724037.928900000060000,9298457.728800000600000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,480.874399999999980,-722.461999999000000,-31.030926000000001,8.326810000460000
16,17,4457,724028.256900000040000,9298458.456399999600000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,471.202400000000010,-721.734400000000050,-40.702925999999998,9.054409999400001
17,18,4458,724028.256900000040000,9298458.456399999600000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,471.202400000000010,-721.734400000000050,-40.702925999999998,9.054409999400001
18,19,4479,724010.963299999940000,9298461.268600000100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,453.908799999999990,-718.922199999999980,-57.996526000099998,11.866609999900000
19,20,4480,724010.963299999940000,9298461.268600000100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,453.908799999999990,-718.922199999999980,-57.996526000099998,11.866609999900000
20,21,4523,723635.295200000050000,9298466.558000000200000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,78.240700000100006,-713.632799999999970,-433.664626000000000,17.156009999999998
21,22,4524,723635.295200000050000,9298466.558000000200000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,78.240700000100006,-713.632799999999970,-433.664626000000000,17.156009999999998
22,23,4553,723645.057599999940000,9298471.389599999400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,88.003100000000003,-708.801200000999980,-423.902225999999980,21.987609999299998
23,24,4554,723645.057599999940000,9298471.389599999400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,88.003100000000003,-708.801200000999980,-423.902225999999980,21.987609999299998
24,25,4615,724067.674200000010000,9298474.942800000300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,510.619700000000020,-705.248000000000050,-1.285626000030000,25.540810000200000
25,26,4616,724067.674200000010000,9298474.942800000300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,510.619700000000020,-705.248000000000050,-1.285626000030000,25.540810000200000
26,27,4625,724059.251200000060000,9298476.106399999900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,502.196700000000020,-704.084399999999960,-9.708625999980001,26.704409999799999
27,28,4626,724059.251200000060000,9298476.106399999900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,502.196700000000020,-704.084399999999960,-9.708625999980001,26.704409999799999
28,29,4633,724050.774199999990000,9298477.142000000900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,493.719699999999990,-703.048799999000040,-18.185625999999999,27.740010000800002
29,30,4634,724050.774199999990000,9298477.142000000900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,493.719699999999990,-703.048799999000040,-18.185625999999999,27.740010000800002
30,31,4653,724040.555000000050000,9298478.389799999100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,483.500499999999990,-701.801000001000030,-28.404826000000000,28.987809998900001
31,32,4654,724040.555000000050000,9298478.389799999100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,483.500499999999990,-701.801000001000030,-28.404826000000000,28.987809998900001
32,33,4665,724030.911399999980000,9298479.864099999900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,473.856900000000000,-700.326699999999960,-38.048426000100001,30.462109999700001
33,34,4666,724030.911399999980000,9298479.864099999900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,473.856900000000000,-700.326699999999960,-38.048426000100001,30.462109999700001
