OBJECTID;Name;descriptio;timestamp;begin;end;altitudeMo;tessellate;extrude;visibility;drawOrder;icon;OID_;FolderPath;SymbolID;AltMode;Base;Clamped;Extruded;Snippet;PopupInfo;Shape_Leng;layer;path;descript_1;altitude_1;X_Point;Y_Point;X_Point_UTM;Y_Point_UTM;X_Anchor1;Y_Anchor1;X_Anchor2;Y_Achor2
1;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.030632330000000;-6.338273383200000;724632.706053670030000;9298962.129135642200000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
2;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.030554694000000;-6.337364988300000;724624.507631255080000;9299062.641935676300000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
3;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.030760767000000;-6.337171625980000;724647.396838844060000;9299083.940827047500000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
4;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.030759397000000;-6.337428932300000;724647.133935247780000;9299055.480325797600000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
5;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.030687818000000;-6.337627223500000;724639.126640010510000;9299033.578004932000000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
6;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.030615580000000;-6.337597889480000;724631.144824189130000;9299036.853985101000000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
7;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.030669030000000;-6.336266215520000;724637.636549525200000;9299184.129695767500000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
8;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.030412380000000;-6.336573762290000;724609.100553921770000;9299150.222514711300000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
9;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.030496799000010;-6.336485641020000;724618.481089235980000;9299159.933170799200000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
10;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.030452454000000;-6.336523255250000;724613.557302779520000;9299155.791868787300000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
