x,y
198.5,511.5
911.5,419.5
169.5,503.5
635.5,464.5
809.5,135.5
985.5,227.5
373.5,416.5
293.5,338.5
150.5,507.5
152.5,338.5
281.5,354.5
620.5,489.5
748.5,440.5
876.5,140.5
1016.5,299.5
283.5,295.5
19.5,347.5
225.5,245.5
708.5,404.5
136.5,485.5
897.5,406.5
919.5,27.5
1017.5,505.5
171.5,189.5
627.5,405.5
204.5,213.5
210.5,441.5
242.5,267.5
315.5,472.5
726.5,427.5
882.5,395.5
816.5,332.5
1029.5,514.5
115.5,404.5
369.5,487.5
954.5,70.5
330.5,235.5
534.5,82.5
599.5,363.5
610.5,147.5
951.5,12.5
952.5,263.5
60.5,457.5
388.5,40.5
419.5,356.5
504.5,59.5
666.5,455.5
825.5,425.5
1048.5,292.5
403.5,223.5
297.5,514.5
780.5,22.5
868.5,177.5
216.5,272.5
611.5,459.5
99.5,494.5
104.5,475.5
161.5,307.5
170.5,377.5
234.5,222.5
331.5,357.5
347.5,306.5
360.5,347.5
437.5,60.5
602.5,482.5
667.5,201.5
675.5,421.5
683.5,402.5
889.5,115.5
967.5,467.5
985.5,480.5
1018.5,195.5
135.5,507.5
146.5,248.5
268.5,282.5
58.5,512.5
120.5,456.5
395.5,253.5
843.5,439.5
948.5,47.5
148.5,225.5
317.5,298.5
497.5,460.5
584.5,347.5
630.5,166.5
651.5,186.5
696.5,417.5
870.5,108.5
926.5,235.5
938.5,142.5
1002.5,243.5
473.5,383.5
554.5,383.5
718.5,249.5
754.5,338.5
786.5,307.5
843.5,44.5
1033.5,258.5
1046.5,238.5
314.5,344.5
332.5,511.5
109.5,378.5
149.5,414.5
191.5,312.5
239.5,330.5
240.5,432.5
731.5,259.5
941.5,188.5
968.5,262.5
1016.5,223.5
127.5,429.5
429.5,419.5
641.5,345.5
578.5,118.5
950.5,168.5
225.5,371.5
606.5,341.5
943.5,243.5
691.5,370.5
434.5,377.5
797.5,114.5
814.5,406.5
70.5,480.5
100.5,448.5
155.5,485.5
198.5,327.5
212.5,297.5
226.5,352.5
351.5,368.5
457.5,15.5
581.5,393.5
653.5,431.5
805.5,28.5
1000.5,203.5
1040.5,44.5
901.5,191.5
223.5,371.5
298.5,370.5
609.5,388.5
508.5,399.5
212.5,485.5
394.5,485.5
937.5,259.5
726.5,316.5
108.5,429.5
189.5,345.5
255.5,389.5
368.5,285.5
592.5,470.5
594.5,133.5
850.5,153.5
931.5,102.5
708.5,237.5
39.5,134.5
403.5,225.5
302.5,239.5
803.5,383.5
458.5,473.5
1035.5,175.5
222.5,180.5
336.5,474.5
705.5,351.5
763.5,286.5
141.5,437.5
806.5,461.5
1006.5,289.5
303.5,241.5
297.5,516.5
641.5,347.5
1019.5,197.5
336.5,388.5
591.5,381.5
461.5,349.5
899.5,190.5
695.5,436.5
818.5,113.5
552.5,95.5
721.5,370.5
1034.5,220.5
62.5,459.5
656.5,396.5
275.5,323.5
358.5,319.5
405.5,475.5
773.5,296.5
1045.5,266.5
135.5,407.5
174.5,431.5
355.5,501.5
376.5,353.5
962.5,233.5
463.5,379.5
125.5,431.5
555.5,350.5
683.5,217.5
978.5,159.5
206.5,474.5
214.5,201.5
569.5,352.5
744.5,481.5
894.5,212.5
216.5,201.5
729.5,257.5
241.5,192.5
449.5,380.5
920.5,134.5
257.5,206.5
282.5,376.5
579.5,448.5
861.5,366.5
191.5,400.5
221.5,394.5
370.5,319.5
597.5,440.5
1002.5,493.5
1054.5,170.5
110.5,427.5
948.5,34.5
192.5,376.5
236.5,304.5
915.5,194.5
995.5,168.5
204.5,424.5
474.5,385.5
680.5,215.5
938.5,257.5
338.5,389.5
391.5,486.5
334.5,258.5
596.5,442.5
1025.5,238.5
489.5,46.5
494.5,376.5
783.5,415.5
852.5,95.5
914.5,196.5
143.5,435.5
470.5,29.5
517.5,69.5
535.5,410.5
927.5,431.5
951.5,200.5
247.5,313.5
347.5,343.5
581.5,446.5
138.5,483.5
1015.5,503.5
275.5,325.5
152.5,509.5
599.5,409.5
952.5,228.5
536.5,80.5
397.5,253.5
665.5,487.5
973.5,236.5
7.5,496.5
64.5,86.5
387.5,504.5
403.5,474.5
681.5,461.5
743.5,384.5
804.5,459.5
849.5,358.5
883.5,192.5
940.5,225.5
969.5,182.5
1031.5,328.5
1042.5,525.5
811.5,137.5
983.5,225.5
37.5,132.5
147.5,524.5
593.5,383.5
694.5,224.5
819.5,440.5
968.5,211.5
481.5,359.5
816.5,113.5
37.5,134.5
168.5,462.5
206.5,424.5
310.5,377.5
558.5,398.5
675.5,361.5
747.5,273.5
775.5,447.5
913.5,172.5
288.5,234.5
986.5,259.5
137.5,460.5
277.5,191.5
311.5,363.5
326.5,383.5
537.5,376.5
609.5,415.5
803.5,321.5
838.5,408.5
871.5,374.5
923.5,187.5
966.5,286.5
899.5,158.5
239.5,192.5
928.5,232.5
1029.5,330.5
335.5,327.5
147.5,364.5
669.5,201.5
849.5,417.5
969.5,20.5
1054.5,219.5
266.5,308.5
292.5,264.5
569.5,329.5
682.5,214.5
947.5,449.5
958.5,279.5
1044.5,190.5
953.5,14.5
334.5,513.5
312.5,346.5
836.5,132.5
747.5,479.5
358.5,317.5
481.5,333.5
685.5,442.5
771.5,296.5
828.5,342.5
1012.5,270.5
342.5,458.5
376.5,522.5
108.5,523.5
511.5,321.5
804.5,432.5
820.5,38.5
973.5,196.5
