x,y
862.5,81.5
242.5,89.5
288.5,263.5
317.5,213.5
488.5,32.5
349.5,426.5
379.5,104.5
380.5,135.5
400.5,47.5
400.5,488.5
511.5,194.5
546.5,169.5
621.5,61.5
743.5,142.5
320.5,373.5
266.5,62.5
323.5,434.5
326.5,166.5
361.5,284.5
375.5,389.5
542.5,66.5
569.5,234.5
583.5,116.5
615.5,111.5
715.5,34.5
813.5,101.5
136.5,492.5
254.5,484.5
316.5,12.5
362.5,378.5
519.5,101.5
673.5,96.5
253.5,414.5
278.5,40.5
315.5,90.5
328.5,72.5
332.5,291.5
365.5,94.5
386.5,455.5
415.5,226.5
434.5,436.5
447.5,367.5
489.5,179.5
565.5,295.5
566.5,182.5
591.5,146.5
647.5,234.5
252.5,348.5
283.5,189.5
336.5,416.5
350.5,510.5
359.5,241.5
505.5,378.5
533.5,210.5
632.5,197.5
701.5,55.5
709.5,146.5
731.5,161.5
757.5,122.5
362.5,407.5
378.5,254.5
462.5,257.5
129.5,115.5
135.5,418.5
244.5,133.5
275.5,369.5
277.5,230.5
277.5,436.5
303.5,125.5
308.5,398.5
324.5,463.5
346.5,479.5
371.5,443.5
390.5,506.5
402.5,311.5
409.5,387.5
421.5,61.5
454.5,82.5
457.5,401.5
465.5,113.5
470.5,166.5
474.5,412.5
496.5,135.5
496.5,214.5
498.5,335.5
518.5,229.5
551.5,96.5
556.5,315.5
624.5,167.5
644.5,179.5
662.5,216.5
666.5,237.5
686.5,180.5
696.5,211.5
781.5,87.5
801.5,121.5
815.5,129.5
820.5,54.5
835.5,64.5
244.5,157.5
274.5,326.5
300.5,201.5
307.5,320.5
389.5,370.5
409.5,342.5
410.5,520.5
427.5,354.5
438.5,336.5
443.5,98.5
451.5,154.5
524.5,352.5
697.5,163.5
759.5,73.5
850.5,75.5
270.5,152.5
315.5,280.5
243.5,110.5
363.5,123.5
431.5,485.5
680.5,226.5
735.5,106.5
130.5,182.5
265.5,249.5
424.5,399.5
758.5,177.5
251.5,327.5
299.5,471.5
327.5,262.5
349.5,114.5
369.5,316.5
374.5,473.5
465.5,67.5
476.5,50.5
511.5,46.5
660.5,115.5
299.5,281.5
656.5,161.5
277.5,470.5
310.5,59.5
383.5,424.5
555.5,47.5
298.5,79.5
455.5,186.5
530.5,295.5
131.5,230.5
133.5,325.5
251.5,20.5
254.5,456.5
276.5,391.5
310.5,453.5
333.5,354.5
334.5,497.5
345.5,274.5
370.5,29.5
411.5,76.5
417.5,280.5
421.5,502.5
444.5,29.5
457.5,308.5
475.5,200.5
481.5,364.5
489.5,394.5
524.5,28.5
575.5,60.5
588.5,40.5
603.5,19.5
807.5,44.5
252.5,369.5
372.5,197.5
390.5,62.5
396.5,406.5
543.5,333.5
575.5,268.5
687.5,75.5
692.5,108.5
397.5,117.5
358.5,461.5
456.5,12.5
133.5,360.5
250.5,305.5
252.5,392.5
253.5,274.5
275.5,347.5
301.5,509.5
381.5,297.5
398.5,437.5
411.5,33.5
411.5,472.5
415.5,129.5
437.5,174.5
453.5,450.5
492.5,299.5
560.5,150.5
580.5,163.5
636.5,41.5
641.5,74.5
749.5,86.5
267.5,109.5
312.5,481.5
397.5,267.5
421.5,324.5
432.5,46.5
477.5,321.5
569.5,27.5
612.5,184.5
627.5,94.5
636.5,149.5
650.5,20.5
669.5,33.5
674.5,198.5
720.5,67.5
793.5,35.5
325.5,434.5
132.5,283.5
299.5,12.5
433.5,141.5
469.5,382.5
550.5,221.5
679.5,127.5
720.5,177.5
259.5,175.5
284.5,68.5
499.5,64.5
502.5,14.5
516.5,149.5
531.5,84.5
781.5,25.5
555.5,254.5
346.5,336.5
375.5,359.5
390.5,329.5
411.5,418.5
446.5,418.5
476.5,289.5
508.5,117.5
528.5,130.5
545.5,278.5
598.5,206.5
648.5,132.5
683.5,12.5
709.5,194.5
7.5,32.5
325.5,21.5
339.5,227.5
242.5,70.5
337.5,444.5
458.5,349.5
418.5,161.5
422.5,16.5
595.5,99.5
786.5,160.5
454.5,10.5
277.5,456.5
655.5,53.5
782.5,27.5
336.5,28.5
751.5,6.5
773.5,160.5
301.5,10.5
795.5,37.5
320.5,522.5
267.5,89.5
274.5,307.5
277.5,284.5
350.5,397.5
477.5,97.5
536.5,242.5
540.5,114.5
707.5,88.5
722.5,128.5
734.5,48.5
829.5,112.5
240.5,43.5
253.5,435.5
267.5,137.5
271.5,513.5
291.5,49.5
348.5,302.5
399.5,148.5
422.5,454.5
436.5,293.5
442.5,467.5
513.5,313.5
603.5,128.5
607.5,81.5
667.5,144.5
563.5,79.5
395.5,117.5
397.5,115.5
787.5,142.5
799.5,146.5
538.5,7.5
583.5,6.5
288.5,524.5
300.5,243.5
487.5,80.5
589.5,247.5
771.5,101.5
